cell                                                       a_lin    z_lin    a_kNN    z_kNN   final_pmse
--------------------------------------------------------------------------------------------------------------
baseline_cnn_ema_vicreg                                   0.1403   0.3224   0.3478   0.3870       1.0374
baseline_cnn_ema_vicreg_no_cov                            0.0195   0.3150   0.0131   0.7559       0.0054
baseline_vit_ema_sigreg                                   0.1904   0.3568   0.2744   0.4240       0.9662
baseline_vit_ema_vicreg                                   0.0316   0.1332   0.0864   0.1443       0.0868
exp_a_cnn_ema_vicreg                                      0.1601   0.2832   0.2027   0.3355       0.7607
exp_a_cnn_ema_vicreg_no_cov                               0.2998   0.6986   0.3911   0.9473       1.2949
exp_a_vit_ema_sigreg                                      0.1753   0.3754   0.3020   0.4614       0.6757
exp_a_vit_ema_vicreg                                      0.0676   0.1784   0.1718   0.4109       0.2888
exp_b_cnn_ema_vicreg                                      0.2353   0.2806   0.4101   0.4874       0.1304
exp_b_cnn_ema_vicreg_no_cov                               0.4569   0.3153   0.5413   0.4254       0.5535
exp_b_vit_ema_sigreg                                      0.4478   0.3924   0.5804   0.5428       0.0799
exp_b_vit_ema_vicreg                                      0.7162   0.8886   0.7510   1.0668       0.0007
exp_b_vit_ema_vicreg_no_cov                               0.5874   0.3415   0.6361   0.4874       0.0000
